  Analyzer:  ;  PQM-710 (BR0070)  
  Recording start:   ;  2024-08-23 19:26:10.467  
  Recording stop:   ;  2024-08-23 19:47:15.017  
  Time:  ;  (UTC-6)  
  Flag:  ;
  E  - event  ;
  Ef - event (Fast stream data)  ;
  P  - PLL no synchronization  ;
  Pf - PLL no synchronization (Fast stream data)  ;
  G  - GPS no synchronization  ;
  Gf - GPS no synchronization (Fast stream data)  ;
  T  - time resynchronization  ;
  Tf - time resynchronization (Fast stream data)  ;
  A  - A/D overflow  ;
  Af - A/D overflow (Fast stream data)  ;

;;'E / Ef';'P / Pf';'G / Gf';'T / Tf';'A / Af';  Date        ;  Time (UTC-6)  ;  f L1 avg. 3 s [Hz]  ;  U L1 avg. 3 s [V]  ;  I *L1 avg. 3 s [A]  ;  I *N avg. 3 s [A]  
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:32:53.942  ;  60,02               ;  12,077             ;  0,16236             ;  0,68435            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:32:56.941  ;  60,02               ;  12,080             ;  0,16019             ;  0,68182            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:32:59.941  ;  60,02               ;  12,079             ;  0,16152             ;  0,68168            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:33:02.941  ;  60,01               ;  12,071             ;  0,16175             ;  0,68011            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:33:05.942  ;  60,01               ;  12,074             ;  0,16019             ;  0,68322            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:33:08.943  ;  60,01               ;  12,074             ;  0,15990             ;  0,68253            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:33:11.944  ;  60,00               ;  12,076             ;  0,16014             ;  0,68011            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:33:14.945  ;  59,99               ;  12,077             ;  0,15975             ;  0,68242            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:33:17.947  ;  59,99               ;  12,078             ;  0,16071             ;  0,68341            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:33:20.948  ;  59,98               ;  12,078             ;  0,16192             ;  0,68344            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:33:23.949  ;  59,97               ;  12,077             ;  0,15931             ;  0,68284            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:33:26.951  ;  59,97               ;  12,075             ;  0,16212             ;  0,68288            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:33:29.952  ;  59,97               ;  12,074             ;  0,16071             ;  0,68399            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:33:32.953  ;  59,97               ;  12,073             ;  0,15984             ;  0,68283            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:33:35.953  ;  59,97               ;  12,076             ;  0,16302             ;  0,68283            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:33:38.953  ;  59,97               ;  12,078             ;  0,16194             ;  0,68383            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:33:41.953  ;  59,99               ;  12,077             ;  0,16264             ;  0,68101            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:33:44.953  ;  59,99               ;  12,074             ;  0,16055             ;  0,68471            
