  Analyzer:  ;  PQM-710 (BR0070)  
  Recording start:   ;  2024-10-22 19:07:04.787  
  Recording stop:   ;  2024-10-22 19:22:02.953  
  Time:  ;  (UTC-6)  
  Flag:  ;
  E  - event  ;
  Ef - event (Fast stream data)  ;
  P  - PLL no synchronization  ;
  Pf - PLL no synchronization (Fast stream data)  ;
  G  - GPS no synchronization  ;
  Gf - GPS no synchronization (Fast stream data)  ;
  T  - time resynchronization  ;
  Tf - time resynchronization (Fast stream data)  ;
  A  - A/D overflow  ;
  Af - A/D overflow (Fast stream data)  ;

;;'E / Ef';'P / Pf';'G / Gf';'T / Tf';'A / Af';  Date        ;  Time (UTC-6)  ;  f L1 avg. 3 s [Hz]  ;  U L1 avg. 3 s [V]  ;  I *L1 avg. 3 s [A]  ;  I *L2 avg. 3 s [A]  
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:12:11.994  ;  60.02               ;  12.397             ;  0.65676             ;  0.34858             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:12:14.991  ;  60.02               ;  12.393             ;  0.65700             ;  0.34877             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:12:17.989  ;  60.02               ;  12.397             ;  0.65915             ;  0.34867             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:12:20.988  ;  60.03               ;  12.397             ;  0.65932             ;  0.34772             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:12:23.987  ;  60.04               ;  12.398             ;  0.66092             ;  0.34766             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:12:26.986  ;  60.04               ;  12.398             ;  0.65931             ;  0.34803             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:12:29.985  ;  60.04               ;  12.402             ;  0.65723             ;  0.34965             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:12:32.984  ;  60.02               ;  12.400             ;  0.65689             ;  0.34917             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:12:35.983  ;  60.02               ;  12.405             ;  0.65781             ;  0.34930             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:12:38.982  ;  60.02               ;  12.405             ;  0.65757             ;  0.34818             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:12:41.981  ;  60.02               ;  12.408             ;  0.65937             ;  0.35003             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:12:44.980  ;  60.02               ;  12.404             ;  0.65790             ;  0.34760             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:12:47.979  ;  60.02               ;  12.409             ;  0.65742             ;  0.34982             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:12:50.978  ;  60.02               ;  12.405             ;  0.65621             ;  0.34818             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:12:53.977  ;  60.02               ;  12.402             ;  0.65943             ;  0.34896             
