  Analyzer:  ;  PQM-710 (BR0070)  
  Recording start:   ;  2024-10-11 19:59:02.586  
  Recording stop:   ;  2024-10-11 20:13:59.975  
  Time:  ;  (UTC-6)  
  Flag:  ;
  E  - event  ;
  Ef - event (Fast stream data)  ;
  P  - PLL no synchronization  ;
  Pf - PLL no synchronization (Fast stream data)  ;
  G  - GPS no synchronization  ;
  Gf - GPS no synchronization (Fast stream data)  ;
  T  - time resynchronization  ;
  Tf - time resynchronization (Fast stream data)  ;
  A  - A/D overflow  ;
  Af - A/D overflow (Fast stream data)  ;

;;'E / Ef';'P / Pf';'G / Gf';'T / Tf';'A / Af';  Date        ;  Time (UTC-6)  ;  f L1 avg. 3 s [Hz]  ;  U L1 avg. 3 s [V]  ;  I *L1 avg. 3 s [A]  ;  I *N avg. 3 s [A]  
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:03:51.035  ;  59.96               ;  12.442             ;  0.58713             ;  0.32230            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:03:54.036  ;  59.97               ;  12.442             ;  0.58924             ;  0.32340            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:03:57.036  ;  59.97               ;  12.443             ;  0.58836             ;  0.32592            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:04:00.037  ;  59.97               ;  12.440             ;  0.58712             ;  0.32479            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:04:03.038  ;  59.99               ;  12.438             ;  0.58768             ;  0.32341            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:04:06.040  ;  59.99               ;  12.436             ;  0.58993             ;  0.32353            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:04:09.041  ;  59.99               ;  12.435             ;  0.58873             ;  0.32320            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:04:12.043  ;  59.97               ;  12.439             ;  0.58926             ;  0.32388            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:04:15.045  ;  59.97               ;  12.438             ;  0.58820             ;  0.32347            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:04:18.047  ;  59.97               ;  12.436             ;  0.58777             ;  0.32394            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:04:21.049  ;  59.97               ;  12.433             ;  0.58829             ;  0.32404            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:04:24.050  ;  59.96               ;  12.438             ;  0.58745             ;  0.32429            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:04:27.051  ;  59.96               ;  12.442             ;  0.58789             ;  0.32318            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:04:30.052  ;  59.96               ;  12.444             ;  0.58963             ;  0.32567            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:04:33.052  ;  59.98               ;  12.444             ;  0.58886             ;  0.32560            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:04:36.053  ;  59.98               ;  12.441             ;  0.58748             ;  0.32459            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:04:39.053  ;  59.98               ;  12.436             ;  0.58684             ;  0.32554            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:04:42.053  ;  59.99               ;  12.440             ;  0.58915             ;  0.32419            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:04:45.053  ;  59.99               ;  12.439             ;  0.58819             ;  0.32637            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:04:48.054  ;  59.99               ;  12.441             ;  0.58750             ;  0.32477            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:04:51.054  ;  59.99               ;  12.443             ;  0.58852             ;  0.32441            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:04:54.055  ;  59.99               ;  12.445             ;  0.58919             ;  0.32500            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:04:57.055  ;  59.99               ;  12.444             ;  0.58883             ;  0.32471            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:05:00.056  ;  59.99               ;  12.445             ;  0.58728             ;  0.32514            
